# league name,internal sport id,max cap per sport,max cap per child markets,main spread markets id10001,main totals markets id10002,main double chance markets id10003,first period secondary moneyline total spread ids10051 10061 10071,soccer corners and cards markets spreads totals team and most cards ids10221to10246,basketball team totals steals blocks assists threes plus player shooting volume props ids10268to10273 and11255to11262,mlb batting and some pitcher props home runs hits rbis singles doubles walks runs outs and walks allowed ids11010 11012 11213to11223,mlb pitcher bases strikeouts hits allowed and earned runs props ids11011 11019 11047 11216,basketball player points props id11029,basketball player rebounds and made threes props ids11035 11038,basketball player assists props id11039,nfl passing rushing receiving touchdowns and kicking props including longest plays ids11049 11051 11052 11053 11055 11056 11057 11058 11060 11202to11211 11241 11296 11297,soccer or hockey anytime player goal scored props id11086,basketball combo stat props double double triple double pras ras steals and turnovers plus blocks ids11087 11088 11098 11225to11229 11246,shots recorded props typically hockey id11097,player total goals props soccer or hockey id11100,nfl defensive tackles props id11212,basketball steals plus blocks combo props id11230,tennis player serve and break props aces break points double faults ids11231 11232 11240,soccer player shots on target props id11238,soccer player total shots props id11239,player fouls committed props basketball or soccer id11259,esports player kills assists deaths and headshots by map and series ids11263to11293,esports game props 10320 to 10504,soccer player fouls drawn and offsides props ids11298 11300,soccer goalkeeper saves props id11301,regular time markets,per sport risk multiplier,dynamic liquidity cutoff time seconds,dynamic liquidity cutoff divider
Costa Rica - Primera Division,20519,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Russia - Cup,20663,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
England - Community Shield,20540,2500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Egypt - Premier League,20538,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Uzbekistan - Super League,20707,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Wales - Cymru Premier,20517,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Northern Ireland - Premiership,20639,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Belarus - Premier League,20183,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
South Africa - Premier League,20683,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Indonesia - Liga 1,20583,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Qatar - Stars League,20659,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Georgia - Erovnuli Liga,20561,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Malaysia - Super League,20621,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Vietnam - V League 1,20709,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Austria - 2. Liga,20175,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Belgium - Challenger Pro League,20184,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Netherlands - Eerste Divisie,20634,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Ireland - Division 1,20588,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Portugal - Segunda Liga,20657,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Russia - First League,20664,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Scotland - Championship,20669,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Turkey - 1. Lig,20692,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
England - League 2,20543,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Germany - Bundesliga 3,20563,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Portugal - Liga 3,20656,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Romania - Liga II,20662,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Czech Republic - First League,20529,800,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Israel - Premier League,20593,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Paraguay - Primera Division,20649,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
UAE - Pro League,20694,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Argentina - Primera Nacional,20161,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
UEFA - European Championship U21,20712,3000,1000,2000,2000,2000,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
UEFA - European Championship Women,20713,700,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
France Cup,134,1000,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
EURO 2024,50,1000,0,0,0,0,,300,0,0,0,0,0,300,0,0,0,0,400,200,0,0,300,300,200,0,0,200,200,0,0,172800,5000000000000000000
Copa America,44,1000,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,5,172800,5000000000000000000
UCL Qualification,10611,1000,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Europe League Qualification,10613,1000,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Conference League Qualification,10615,1000,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Australia A League,20113,1000,300,500,500,400,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
China Super League,20112,1000,300,500,500,400,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
International - Club Friendlies,20584,300,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
International - Friendlies,20585,300,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
International - Friendlies Women,20586,300,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
SPAIN_LIGA_ACB,20201,700,200,600,500,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,86400,5000000000000000000
ITALY_LEGA_BASKET_SERIA_A,20202,600,200,500,400,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,86400,5000000000000000000
GERMANY_BBL,20203,700,200,600,500,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,86400,5000000000000000000
FRANCE_LNB_PRO_A,20204,600,200,500,400,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,86400,5000000000000000000
CHINA_CBA,20205,500,200,400,300,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,86400,5000000000000000000
AUSTRALIA_NBL,20206,500,200,400,300,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,86400,5000000000000000000
JAPAN_B1_LEAGUE,20207,500,200,400,300,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,86400,5000000000000000000
KOREA_BBL,20208,400,200,300,300,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,86400,5000000000000000000
ENGLAND_BBL,20209,400,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,86400,5000000000000000000
BIG3,20210,200,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,86400,5000000000000000000
FIBA - Americup Qualifiers,20212,400,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,86400,5000000000000000000
FIBA - Asia Cup Qualifiers,20213,400,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,86400,5000000000000000000
FIBA - Americup,20226,600,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,86400,5000000000000000000
International - ABA League,20227,500,200,400,300,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,86400,5000000000000000000
International - VTB United League,20229,200,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,86400,5000000000000000000
Israel - Super League,20228,400,200,300,300,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,86400,5000000000000000000
FIBA - World Cup Qualifiers,20215,500,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,86400,5000000000000000000
Greece - A1 League,20217,400,200,300,300,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,86400,5000000000000000000
International - Champions League,20218,400,200,300,300,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,86400,5000000000000000000
Turkey - BSL,20219,500,200,400,300,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,86400,5000000000000000000
FIBA - Eurobasket Women,20220,400,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,86400,5000000000000000000
Philippines - Phillipine Cup,20221,400,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,86400,5000000000000000000
FIBA - World Cup U19,20222,300,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,86400,5000000000000000000
FIBA - Americup Women,20223,200,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,86400,5000000000000000000
UFC PPV,701,4000,700,700,1200,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,86400,0
UFC Non-Main,702,1000,300,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,86400,0
UFC APEX,703,600,200,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,86400,0
UFC DW Contender,704,300,100,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,86400,0
PFL,9,600,200,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,86400,0
Boxing,9196,300,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,86400,0
Boxing - Non-Title (deprecated),10595,100,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,86400,0
USA - National Lacrosse League,20310,300,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,86400,4000000000000000000
USA - Premier Lacrosse League,20311,300,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,86400,4000000000000000000
CS2,9977,500,200,300,300,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,170,170,,,0,7,172800,5000000000000000000
DOTA2,9983,500,200,300,300,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,170,170,,,0,7,172800,5000000000000000000
LOL,10138,500,200,300,300,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,170,170,,,0,10,172800,5000000000000000000
Rainbow Six Siege,20293,150,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,130,130,,,0,7,172800,0
Starcraft 2,20294,150,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,130,130,,,0,0,172800,0
Mobile Legends Bang Bang,20295,150,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,130,130,,,0,0,172800,0
Overwatch,20296,150,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,130,130,,,0,0,172800,0
Call of Duty,20298,150,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,130,130,,,0,0,172800,0
Valorant,20300,200,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,150,80,,,0,0,172800,0
Rocket League,20297,150,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,100,80,,,0,0,172800,0
Kings of Glory,20292,100,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,70,50,,,0,0,172800,0
US presidential elections,20000,1000,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,10,0,0
Tennis ATP GS unknown round,15610,200,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,4000000000000000000
Tennis ATP GS Qualification,15611,800,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,4000000000000000000
Tennis ATP GS 1st round,15612,1000,500,0,0,0,,,0,500,500,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis ATP GS 2nd round,15613,2000,0,0,0,0,,,0,500,500,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis ATP GS 3rt round,15614,2500,0,0,0,0,,,0,500,500,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis ATP GS 4th round,15615,3000,1000,2000,2000,0,,,0,500,500,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis ATP GS quarterfinals,15616,3000,1000,2000,2000,0,,,0,500,500,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis ATP GS semifinals,15617,4000,1200,2000,2000,0,,,0,500,500,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis ATP GS finals,15618,5000,1200,3000,3000,0,,,0,500,500,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis ATP1000 unknown round,15620,200,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis ATP1000 Qualification,15621,800,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis ATP1000 1st round,15622,1000,0,1000,700,0,,,0,500,500,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis ATP1000 2nd round,15623,2000,0,1500,1500,0,,,0,500,500,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis ATP1000 3rt round,15624,2500,1000,2000,1500,1500,,,0,500,500,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis ATP1000 4th round,15625,2500,1000,2000,1500,0,,,0,500,500,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis ATP1000 quarterfinals,15626,2500,1000,2000,2000,0,,,0,500,500,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis ATP1000 semifinals,15627,3000,1000,2000,2000,0,,,0,500,500,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis ATP1000 finals,15628,4000,1000,2000,3000,0,,,0,500,500,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis ATP500 unknown round,15630,200,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,150,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis ATP500 Qualification,15631,700,0,700,600,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,150,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis ATP500 1st round,15632,900,0,900,700,0,,,0,400,400,0,0,0,0,0,0,0,,0,0,150,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis ATP500 2nd round,15633,1000,0,1000,800,0,,,0,400,400,0,0,0,0,0,0,0,,0,0,150,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis ATP500 3rt round,15634,1300,0,1300,1000,0,,,0,400,400,0,0,0,0,0,0,0,,0,0,150,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis ATP500 4th round,15635,1400,0,1400,1000,0,,,0,400,400,0,0,0,0,0,0,0,,0,0,150,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis ATP500 quarterfinals,15636,1500,0,1500,1300,1000,,,0,400,400,0,0,0,0,0,0,0,,0,0,150,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis ATP500 semifinals,15637,1700,0,1500,1300,0,,,0,400,400,0,0,0,0,0,0,0,,0,0,150,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis ATP500 finals,15638,2000,0,2000,1500,0,,,0,400,400,0,0,0,0,0,0,0,,0,0,150,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis ATP250 unknown round,15640,200,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,150,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis ATP250 Qualification,15641,500,0,500,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,150,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis ATP250 1st round,15642,700,0,700,0,0,,,0,200,200,0,0,0,0,0,0,0,,0,0,150,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis ATP250 2nd round,15643,800,0,800,0,0,,,0,200,200,0,0,0,0,0,0,0,,0,0,150,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis ATP250 3rt round,15644,1000,0,1000,0,0,,,0,200,200,0,0,0,0,0,0,0,,0,0,150,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis ATP250 4th round,15645,1200,0,1200,1000,0,,,0,200,200,0,0,0,0,0,0,0,,0,0,150,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis ATP250 quarterfinals,15646,1300,0,1300,1000,0,,,0,200,200,0,0,0,0,0,0,0,,0,0,150,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis ATP250 semifinals,15647,1500,0,1500,1000,0,,,0,200,200,0,0,0,0,0,0,0,,0,0,150,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis ATP250 finals,15648,1500,0,1500,1000,0,,,0,200,200,0,0,0,0,0,0,0,,0,0,150,,,0,0,0,,,0,5,86400,5000000000000000000
ATP Challenger,157,500,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,150,,,0,0,0,,,0,5,86400,4000000000000000000
United Cup,150,1000,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,150,,,0,0,0,,,0,5,86400,4000000000000000000
Six Kings Slam,151,2000,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,150,,,0,0,0,,,0,5,86400,4000000000000000000
Davis Cup,154,500,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,150,,,0,0,0,,,0,5,86400,4000000000000000000
ITF Women,155,400,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,150,,,0,0,0,,,0,5,86400,4000000000000000000
ITF Men,159,500,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,150,,,0,0,0,,,0,5,86400,4000000000000000000
Tennis WTA GS unknown round,15210,200,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis WTA GS Qualification,15211,800,0,800,700,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis WTA GS 1st round,15212,1300,0,1200,1000,0,,,0,400,400,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis WTA GS 2nd round,15213,1500,0,1200,1000,0,,,0,400,400,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis WTA GS 3rd round,15214,2000,0,2000,1500,0,,,0,400,400,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis WTA GS 4th round,15215,2800,1000,2000,2000,0,,,0,400,400,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis WTA GS quarterfinals,15216,3200,1000,3000,2000,0,,,0,400,400,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis WTA GS semifinals,15217,3500,1000,3000,2000,0,,,0,400,400,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis WTA GS finals,15218,4000,1000,3000,2000,0,,,0,400,400,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis WTA1000 unknown round,15220,200,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis WTA1000 Qualification,15221,700,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis WTA1000 1st round,15222,800,0,700,600,0,,,0,400,400,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis WTA1000 2nd round,15223,1000,0,900,800,0,,,0,400,400,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis WTA1000 3rt round,15224,1500,0,1300,1200,0,,,0,400,400,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis WTA1000 4th round,15225,1500,0,1300,1200,0,,,0,400,400,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis WTA1000 quarterfinals,15226,2000,0,1500,1200,0,,,0,400,400,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis WTA1000 semifinals,15227,2000,0,1500,1200,0,,,0,400,400,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis WTA1000 finals,15228,2500,0,2000,1500,0,,,0,400,400,0,0,0,0,0,0,0,,0,0,200,,,0,0,0,,,0,5,86400,5000000000000000000
Tennis WTA500 unknown round,15230,200,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,150,,,0,0,0,,,0,5,86400,5000000000000000000
