name,sportId,bookmakers,spread
default,0,draftkings;betmgm;blue book,5
NBA,4,draftkings;betmgm;blue book,5
MLS,10,draftkings;betmgm;bwin;blue book,5
EPL,11,draftkings;betmgm;bwin;blue book,5
FRA1,12,draftkings;betmgm;bwin;blue book,5
GER1,13,draftkings;betmgm;bwin;blue book,5
ESP1,14,draftkings;betmgm;bwin;blue book,5
ITA1,15,draftkings;betmgm;bwin;blue book,5
UEFA CL,16,draftkings;betmgm;bwin;blue book,5
UEFA EL,17,draftkings;betmgm;bwin;blue book,5
UEFA NL,9806,draftkings;betmgm;bwin;blue book,5
CS2,9977,rimble;draftkings;betmgm;bwin,5
Dota 2,9983,rimble;draftkings;betmgm;bwin,5
League of Legends,10138,rimble;draftkings;betmgm;bwin,5
Valorant,20300,rimble;draftkings;betmgm;bwin,5